"county","ward","onset"
"Kiambu","Riabai",2020-02-27
"Machakos","Ndalani",2020-02-27
"Nakuru","Malewa West",2020-02-26
"Kericho","Soin",2020-02-23
"Nakuru","Kamara",2020-03-01
"Nakuru","Kiptagich",2020-02-20
"Nyeri","Rware",2020-02-26
"Meru","Igoji East",2020-02-27
"Nyeri","Mukurwe-Ini Central",2020-02-27
"Kiambu","Hospital",2020-02-27
"Machakos","Masinga Central",2020-02-27
"Kakamega","Butsotso Central",2020-02-24
"Kakamega","Shirugu-Mugai",2020-02-26
"Kiambu","Mwihoko",2020-02-25
"Kiambu","Githunguri",2020-02-27
"Kiambu","Kiamwangi",2020-02-27
"Kiambu","Kikuyu",2020-02-27
"Kakamega","Etenje",2020-02-24
"Kakamega","Kongoni",2020-02-27
"Kericho","Cheboin",2020-02-21
"Kakamega","Idakho Central",2020-02-24
"Kakamega","Chevaywa",2020-02-25
"Nakuru","Dundori",2020-02-25
"Uasin Gishu","Ziwa",2020-03-11
"Kiambu","Bibirioni",2020-02-27
"Kiambu","Township (Thika)",2020-02-27
"Kakamega","Isukha East",2020-02-24
"Kericho","Kapsaos",2020-02-25
"Kericho","Chemosot",2020-02-20
"Nakuru","Lanet/Umoja",2020-02-25
"Nyeri","Iriaini",2020-02-23
"Machakos","Katangi",2020-02-27
"Kakamega","Murhanda",2020-02-24
"Kakamega","Musanda",2020-02-24
"Kakamega","Idakho North",2020-02-24
"Kericho","Chilchila",2020-02-26
"Kiambu","Ngecha Tigoni",2020-02-27
"Kericho","Sigowet",2020-02-22
"Kericho","Kabianga",2020-02-23
"Kericho","Ainamoi",2020-02-24
"Kiambu","Cianda",2020-02-27
"Meru","Athwana",2020-03-12
"Nyeri","Aguthi-Gaaki",2020-02-26
"Meru","Kiirua/Naari",2020-02-26
"Nyeri","Kabaru",2020-02-23
"Kericho","Kapsoit",2020-02-24
"Machakos","Masii",2020-02-27
"Uasin Gishu","Kimumu",2020-02-26
"Nyeri","Chinga",2020-02-26
"Machakos","Kangundo Central",2020-02-27
"Uasin Gishu","Langas",2020-02-26
"Nakuru","Mbaruk/Eburu",2020-02-26
"Kiambu","Nyadhuna",2020-02-27
"Kericho","Kunyak",2020-02-24
"Meru","Abothuguchi West",2020-02-24
"Kakamega","Isukha West",2020-02-24
"Uasin Gishu","Racecourse",2020-02-26
"Nyeri","Kirimukuyu",2020-02-24
"Kakamega","Isukha North",2020-02-25
"Meru","Abogeta East",2020-02-27
"Meru","Mikinduri",2020-02-26
"Kericho","Tebesonik",2020-02-22
"Kiambu","Sigona",2020-02-27
"Nakuru","Kiptororo",2020-02-27
"Nakuru","Keringet",2020-02-27
"Uasin Gishu","Kapsaos",2020-02-26
"Kiambu","Githobokoni",2020-02-27
"Kiambu","Komothai",2020-02-27
"Machakos","Wamunyu",2020-02-27
"Meru","Muthara",2020-03-20
"Uasin Gishu","Kaptagat",2020-03-21
"Nakuru","Waseges",2020-02-28
"Kiambu","Ting'ang'a",2020-02-27
"Kericho","Chepseon",2020-02-26
"Meru","Timau",2020-02-27
"Meru","Igoji West",2020-02-26
"Kakamega","Mumias North",2020-02-26
"Nyeri","Mahiga",2020-02-25
"Kericho","Kipchebor",2020-02-23
"Kakamega","Butsotso East",2020-02-24
"Kakamega","Nzoia",2020-02-26
"Kakamega","Sheywe",2020-02-24
"Kiambu","Gituamba",2020-02-27
"Kakamega","Butsotso South",2020-02-24
"Uasin Gishu","Soy",2020-03-24
"Trans Nzoia","Hospital",2020-03-04
"Kericho","Kapkatet",2020-02-16
